Price,Close,High,Low,Open,Volume
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Date,,,,,
2018-04-03,1097.5577392578125,1099.3482979958753,1081.8399244255017,1088.8034917551372,1345130
2018-04-04,1072.68798828125,1106.0136360417926,1069.4051147039759,1103.1287049337323,1305078
2018-04-05,1112.4796142578125,1115.165512949626,1078.8554850971182,1086.216994482977,1987694
2018-04-06,1113.374755859375,1117.1550262496992,1096.2643267383514,1110.1914597459165,1293385
2018-04-09,1112.429931640625,1131.5797426704323,1109.1968466615667,1114.071368301605,1851094
2018-04-10,1107.853759765625,1128.9931589295643,1104.6206751876107,1114.1706853464439,1198503
2018-04-11,1120.239013671875,1123.1239444592532,1104.222832905023,1104.222832905023,883246
2018-04-12,1128.69482421875,1131.4305115388547,1107.7046657951253,1117.7520749383311,1344409
2018-04-13,1145.1090087890625,1151.0281145288707,1131.1818726036183,1132.972552972886,2952078
2018-04-16,1165.99951171875,1168.8844422888399,1139.040584187848,1141.5275723629306,1625382
2018-04-17,1158.7872314453125,1171.371415740044,1154.5593516008155,1169.8792228537511,912582
2018-04-18,1147.9442138671875,1161.4237414100135,1145.1588593397935,1161.4237414100135,889610
2018-04-19,1147.894287109375,1159.5333432021885,1145.1088117775203,1153.9625139734485,660729
2018-04-20,1146.849853515625,1157.9418465214487,1139.0905222504416,1144.8602627140417,1218056
2018-04-23,1162.915771484375,1171.0233779250045,1147.2477446230585,1152.6693307407602,1354154
2018-04-24,1159.9312744140625,1166.3476552740124,1147.6455772267734,1166.3476552740124,992352
2018-04-25,1161.771728515625,1164.4079604876206,1144.6612970209392,1157.9417906942251,1251769
2018-04-26,1179.52880859375,1186.5421644487008,1155.0072001423543,1162.9157746724218,3196902
2018-04-27,1182.56298828125,1200.7180036639063,1172.3165474638954,1183.8064824855414,1816266
2018-04-30,1204.796630859375,1212.4566279583507,1187.1888016395508,1192.7098430020476,3430681
2018-05-02,1250.30859375,1281.6944376846723,1216.8337037296653,1225.587951960521,8891427
2018-05-03,1227.1298828125,1256.625468519017,1219.4698855677107,1248.46819502195,2977641
2018-05-04,1227.0303955078125,1233.7950531212969,1207.78112789568,1233.7452647749512,1914559
